Name,Value,Timestamp,Step
"rmse_test",20.582206095353765,1647737650223,1
"model_name","XGBoost",1647737650223,1
"rmse_val",[21.17689633 21.10951088 21.32021118 20.27792645 21.01618636],1647737650223,1
